Bauwerk Name;Bauwerkselement Name;Bauwerkselement Typ;Bauwerkselement Nummer;Bauwerkselement Niveau;X-Koordinate;Y-Koordinate;Bauwerksreferenzort Nummer;Bauwerkselement Exportnummer
Frankfurt (Oder), Kleist Forum;Tramsteig Heilbronner Straße vor Bardelebenstraße;Zugang und ÖV;1;0;14,543718;52,342105;360021;301229001
Frankfurt (Oder), Kleistpark;Frankfurt (Oder), Kleistpark;Bauwerk;3400;;14,538575;52,342800;360072;900360072
Frankfurt (Oder), Kleistpark;Tram- Bushalt Kleistpark;Zugang und ÖV;1;0;14,538496;52,342892;360072;303400001
Frankfurt (Oder), Kleistpark;Tram- Bushalt Kleistpark;Zugang und ÖV;2;0;14,539449;52,342825;360072;303400002
Frankfurt (Oder), Kliestow B 5;Frankfurt (Oder), Kliestow B 5;Bauwerk;3462;;14,509397;52,368170;360207;900360207
Frankfurt (Oder), Kliestow Frankfurter Weg;Bushalt Kliestow Frankfurter Weg;Zugang und ÖV;1;0;14,519962;52,366281;360073;303401001
Frankfurt (Oder), Kliestow Frankfurter Weg;Bushalt Kliestow Frankfurter Weg;Zugang und ÖV;2;0;14,520670;52,366055;360073;303401002
Frankfurt (Oder), Kliestow Frankfurter Weg;Frankfurt (Oder), Kliestow Frankfurter Weg;Bauwerk;3401;;14,519716;52,366296;360073;900360073
Frankfurt (Oder), Kliestow Mitte;Bushalt Kliestow Mitte;Zugang und ÖV;1;0;14,509204;52,369659;360074;303402001
Frankfurt (Oder), Kliestow Mitte;Frankfurt (Oder), Kliestow Mitte;Bauwerk;3402;;14,509146;52,369704;360074;900360074
Frankfurt (Oder), Kliestow Rohrpfuhl;Bushalt Rohrpfuhl;Zugang und ÖV;1;0;14,514339;52,367522;360075;303403001
Frankfurt (Oder), Kliestow Rohrpfuhl;Bushalt Rohrpfuhl;Zugang und ÖV;2;0;14,513770;52,367398;360075;303403002
Frankfurt (Oder), Kliestow Rohrpfuhl;Frankfurt (Oder), Kliestow Rohrpfuhl;Bauwerk;3403;;14,514039;52,367462;360075;900360075
Frankfurt (Oder), Klingestr.;Frankfurt (Oder), Klingestr.;Bauwerk;3404;;14,548452;52,352241;360076;900360076
Frankfurt (Oder), Klingestr.;Tram- Bushalt Klingestraße;Zugang und ÖV;1;0;14,548452;52,352117;360076;303404001
Frankfurt (Oder), Klingestr.;Tram- Bushalt Klingestraße;Zugang und ÖV;2;0;14,548375;52,352646;360076;303404002
Frankfurt (Oder), Klingetal;Bushalt Klingetal;Zugang und ÖV;1;0;14,508945;52,358162;360077;303405001
Frankfurt (Oder), Klingetal;Bushalt Klingetal;Zugang und ÖV;2;0;14,508952;52,358117;360077;303405002
Frankfurt (Oder), Klingetal;Frankfurt (Oder), Klingetal;Bauwerk;3405;;14,508944;52,358121;360077;900360077
Frankfurt (Oder), Klinikum;Bushalt Klinikum;Zugang und ÖV;3;0;14,481444;52,302133;360078;301337003
Frankfurt (Oder), Klinikum;Bushalt vor Parkhaus Positon 2;Zugang und ÖV;4;0;14,481475;52,302147;360078;301337004
Frankfurt (Oder), Klinikum;Frankfurt (Oder), Klinikum;Bauwerk;1337;;14,481177;52,302751;360078;900360078
Frankfurt (Oder), Klinikum;Tram- Bushalt Klinikum;Zugang und ÖV;5;0;14,482162;52,303192;360078;301337005
Frankfurt (Oder), Klinikum;Tramsteig  Müllroser Chaussee hinter Konrad-Zuse-Str.;Zugang und ÖV;1;0;14,481935;52,302930;360078;301337001
Frankfurt (Oder), Klinikum;Tramsteig Müllroser Chaussee vor Konrad-Zuse-Straße;Zugang und ÖV;2;0;14,481943;52,303066;360078;301337002
Frankfurt (Oder), Kopernikusstr.;Bushalt Kopernikusstraße;Zugang und ÖV;3;0;14,511746;52,327377;360079;300871003
Frankfurt (Oder), Kopernikusstr.;Bushalt Kopernikusstraße;Zugang und ÖV;4;0;14,511776;52,327328;360079;300871004
Frankfurt (Oder), Kopernikusstr.;Frankfurt (Oder), Kopernikusstr.;Bauwerk;871;;14,511776;52,327171;360079;900360079
Frankfurt (Oder), Kopernikusstr.;Tramsteig Kopernikusstr;Zugang und ÖV;1;0;14,511827;52,327064;360079;300871001
Frankfurt (Oder), Kopernikusstr.;Tramsteig Kopernikusstr;Zugang und ÖV;2;0;14,511719;52,327013;360079;300871002
Frankfurt (Oder), Kräuterweg;Bushalt Leipziger Straße hinter Biegener Straße;Zugang und ÖV;3;0;14,522863;52,329006;360081;301220003
Frankfurt (Oder), Kräuterweg;Bushaltestelle Leipziger Straße vor Südring;Zugang und ÖV;4;0;14,523100;52,329256;360081;301220004
Frankfurt (Oder), Kräuterweg;Frankfurt (Oder), Kräuterweg;Bauwerk;1220;;14,522863;52,329006;360081;900360081
Frankfurt (Oder), Kräuterweg;Tramsteig Leipziger Straße vor Biegener Straße;Zugang und ÖV;2;0;14,523163;52,329305;360081;301220002
Frankfurt (Oder), Kräuterweg;Tramsteig Leipziger Straße vor Südring;Zugang und ÖV;1;0;14,523121;52,329350;360081;301220001
Frankfurt (Oder), Kulturhaus Völkerfreundschaft;Bushalt Kulturhaus Völkerfreundschaft;Zugang und ÖV;1;0;14,503713;52,355789;360082;303406001
Frankfurt (Oder), Kulturhaus Völkerfreundschaft;Bushalt Kulturhaus Völkerfreundschaft;Zugang und ÖV;2;0;14,503837;52,355807;360082;303406002
Frankfurt (Oder), Kulturhaus Völkerfreundschaft;Frankfurt (Oder), Kulturhaus Völkerfreundschaft;Bauwerk;3406;;14,503431;52,355380;360082;900360082
Frankfurt (Oder), Landesbehördenzentrum;Bushalt Landesbehördenzentrum;Zugang und ÖV;1;0;14,512151;52,323694;360083;303407001
Frankfurt (Oder), Landesbehördenzentrum;Bushalt Landesbehördenzentrum;Zugang und ÖV;2;0;14,510164;52,322612;360083;303407002
Frankfurt (Oder), Landesbehördenzentrum;Frankfurt (Oder), Landesbehördenzentrum;Bauwerk;3407;;14,512019;52,323565;360083;900360083
Frankfurt (Oder), Lebuser Chaussee/B 112;Bushalt Lebuser Chaussee B 112;Zugang und ÖV;1;0;14,520099;52,380442;360209;303463001
Frankfurt (Oder), Lebuser Chaussee/B 112;Bushalt Lebuser Chaussee B 112;Zugang und ÖV;2;0;14,519997;52,380331;360209;303463002
Frankfurt (Oder), Lebuser Chaussee/B 112;Frankfurt (Oder), Lebuser Chaussee/B 112;Bauwerk;3463;;14,520037;52,380375;360209;900360209
Frankfurt (Oder), Lebuser Vorstadt;Frankfurt (Oder), Lebuser Vorstadt;Bauwerk;3408;;14,540968;52,363028;360084;900360084
Frankfurt (Oder), Lebuser Vorstadt;Tram- Bushalt Lebuser Vorstadt;Zugang und ÖV;1;0;14,540867;52,363024;360084;303408001
Frankfurt (Oder), Lebuser Vorstadt;Tram- Bushalt Lebuser Vorstadt;Zugang und ÖV;2;0;14,541012;52,363088;360084;303408002
Frankfurt (Oder), Leinengasse;Bushalt Leinengasse;Zugang und ÖV;1;0;14,555830;52,312574;360085;303409001
Frankfurt (Oder), Leinengasse;Frankfurt (Oder), Leinengasse;Bauwerk;3409;;14,556039;52,312264;360085;900360085
Frankfurt (Oder), Lennéstr.;Bushalt Lennéstraße;Zugang und ÖV;1;0;14,539181;52,354942;360086;303410001
Frankfurt (Oder), Lennéstr.;Bushalt Lennéstraße;Zugang und ÖV;2;0;14,539093;52,355027;360086;303410002
Frankfurt (Oder), Lennéstr.;Frankfurt (Oder), Lennéstr.;Bauwerk;3410;;14,539153;52,354931;360086;900360086
Frankfurt (Oder), Lichtenberg Autobahn;Bushalt Lichtenberg Autobahn;Zugang und ÖV;1;0;14,452300;52,318991;360087;303411001
Frankfurt (Oder), Lichtenberg Autobahn;Bushalt Lichtenberg Autobahn;Zugang und ÖV;2;0;14,452314;52,318943;360087;303411002
Frankfurt (Oder), Lichtenberg Autobahn;Frankfurt (Oder), Lichtenberg Autobahn;Bauwerk;3411;;14,452580;52,319125;360087;900360087
Frankfurt (Oder), Lichtenberg Nordstr.;Bushalt Lichtenberg Nordstraße;Zugang und ÖV;1;0;14,446928;52,311907;360088;303412001
Frankfurt (Oder), Lichtenberg Nordstr.;Bushalt Lichtenberg Nordstraße;Zugang und ÖV;2;0;14,446960;52,311887;360088;303412002
Frankfurt (Oder), Lichtenberg Nordstr.;Frankfurt (Oder), Lichtenberg Nordstr.;Bauwerk;3412;;14,446666;52,311643;360088;900360088
Frankfurt (Oder), Lichtenberg Rosengartener Str.;Bushalt Lichtenberg Rosengartener Straße;Zugang und ÖV;1;0;14,447850;52,313819;360089;303413001
Frankfurt (Oder), Lichtenberg Rosengartener Str.;Bushalt Lichtenberg Rosengartener Straße;Zugang und ÖV;2;0;14,447903;52,313813;360089;303413002
Frankfurt (Oder), Lichtenberg Rosengartener Str.;Frankfurt (Oder), Lichtenberg Rosengartener Str.;Bauwerk;3413;;14,448622;52,315468;360089;900360089
Frankfurt (Oder), Lichtenberg Teichstr.;Bushalt Lichtenberg Teichstraße;Zugang und ÖV;1;0;14,443928;52,308845;360090;303414001
Frankfurt (Oder), Lichtenberg Teichstr.;Bushalt Lichtenberg Teichstraße;Zugang und ÖV;2;0;14,444046;52,308780;360090;303414002
Frankfurt (Oder), Lichtenberg Teichstr.;Frankfurt (Oder), Lichtenberg Teichstr.;Bauwerk;3414;;14,441205;52,304619;360090;900360090
Frankfurt (Oder), Lienaustr.;Bushalt Lienaustraße;Zugang und ÖV;1;0;14,531608;52,349707;360137;303480001
Frankfurt (Oder), Lienaustr.;Bushalt Lienaustraße;Zugang und ÖV;2;0;14,531484;52,349694;360137;303480002
Frankfurt (Oder), Lienaustr.;Frankfurt (Oder), Lienaustr.;Bauwerk;3480;;14,531484;52,349694;360137;900360137
Frankfurt (Oder), Lillihof;Bushalt Lillihof;Zugang und ÖV;1;0;14,478782;52,349202;360091;303415001
